SPEC_ID:	'No sample description was entered.'
SPEC_REM:	'DET# 1'
DATE_MEA:	'09/12/2017 08:58:07'
MEAS_TIM:	'1206 1227'
DATA:	'0 2047'
ROI:	'0'
PRESETS:	'Live Time'
ENER_FIT:	'0.000000 0.002526'
MCA_CAL:	'3'
SHAPE_CAL:	'3'

Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	1
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	1
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	1
162	0
163	0
164	0
165	1
166	1
167	0
168	1
169	0
170	0
171	1
172	2
173	1
174	1
175	1
176	1
177	1
178	2
179	3
180	4
181	5
182	3
183	4
184	1
185	6
186	9
187	11
188	16
189	36
190	44
191	59
192	158
193	287
194	666
195	1393
196	3155
197	6880
198	10952
199	12337
200	12463
201	12194
202	12031
203	12206
204	11936
205	11782
206	11430
207	11192
208	11092
209	10843
210	10887
211	10893
212	10602
213	10626
214	10384
215	10106
216	10130
217	9808
218	9768
219	9529
220	9475
221	9261
222	9284
223	8814
224	8782
225	8883
226	8850
227	8759
228	8635
229	8413
230	8365
231	7996
232	7921
233	7954
234	8007
235	7504
236	7403
237	7456
238	7462
239	7372
240	7288
241	7244
242	7112
243	6983
244	6870
245	6790
246	6688
247	6630
248	6473
249	6437
250	6237
251	6281
252	6115
253	6128
254	6081
255	6021
256	6020
257	5896
258	5775
259	5677
260	5630
261	5483
262	5441
263	5430
264	5380
265	5127
266	5223
267	5201
268	5097
269	5038
270	5125
271	4836
272	4783
273	4890
274	4765
275	4677
276	4669
277	4634
278	4584
279	4484
280	4375
281	4372
282	4282
283	4263
