SPEC_ID:	'No sample description was entered.'
SPEC_REM:	'DET# 1'
DATE_MEA:	'09/12/2017 09:36:51'
MEAS_TIM:	'1288 1288'
DATA:	'0 2047'
ROI:	'0'
PRESETS:	'Live Time'
ENER_FIT:	'0.000000 0.002526'
MCA_CAL:	'3'
SHAPE_CAL:	'3'

Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	1
198	4
199	7
200	7
201	1
202	4
203	4
204	4
205	2
206	2
207	0
208	3
209	1
210	4
211	3
212	1
213	4
214	0
215	9
216	3
217	2
218	2
219	4
220	2
221	0
222	5
223	3
224	5
225	5
226	2
227	1
228	1
229	3
230	0
231	0
232	2
233	4
234	2
235	1
236	0
237	0
238	1
239	2
240	4
241	1
242	0
243	1
244	1
245	1
246	2
247	2
248	0
249	3
250	0
251	3
252	4
253	1
254	0
255	2
256	3
257	1
258	2
259	0
260	2
261	1
262	5
263	2
264	2
265	2
266	1
267	2
268	1
269	4
270	1
271	2
272	2
273	6
274	2
275	1
276	2
277	0
278	2
279	2
280	3
281	0
282	0
283	2
284	3
285	1
286	1
287	4
288	1
289	1
290	3
291	1
292	3
293	0
294	3
295	0
296	0
297	0
298	2
299	2
300	0
301	3
302	1
303	1
304	2
305	1
306	4
307	0
308	0
309	2
310	2
311	1
312	4
313	2
314	1
315	1
316	1
317	3
318	1
319	3
320	2
321	1
322	3
323	0
324	2
325	1
326	3
327	1
328	2
329	0
330	4
331	1
