SPEC_ID:	'No sample description was entered.'
SPEC_REM:	'DET# 1'
DATE_MEA:	'09/14/2017 10:00:02'
MEAS_TIM:	'27 27'
DATA:	'0 2047'
ROI:	'1'
PRESETS:	'Live Time'
ENER_FIT:	'0.000000 0.002526'
MCA_CAL:	'3'
SHAPE_CAL:	'3'

Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	1
199	2
200	0
201	0
202	1
203	0
204	0
205	0
206	1
207	1
208	1
209	1
210	0
211	1
212	1
213	2
214	0
215	0
216	0
217	0
218	1
219	0
220	0
221	0
222	1
223	0
224	3
225	1
226	0
227	2
228	0
229	0
230	0
231	1
232	0
233	0
234	1
235	1
236	1
237	0
238	1
239	0
240	1
241	1
242	0
243	0
244	1
245	0
246	0
247	0
248	0
249	1
250	0
251	0
252	0
253	0
254	0
255	0
256	1
257	0
258	1
259	0
260	0
261	1
262	1
263	0
264	0
265	0
266	0
267	0
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	3
276	2
277	0
278	0
279	1
280	0
281	0
282	1
283	1
284	0
285	0
286	1
287	1
288	0
289	1
290	1
291	1
292	3
293	1
294	0
295	1
296	0
297	1
298	0
299	0
300	1
301	1
302	1
303	1
304	0
305	0
306	0
307	2
308	0
309	1
310	0
311	0
312	0
313	1
314	1
315	1
316	0
317	1
318	0
319	0
320	0
321	0
322	0
323	0
324	0
325	0
326	1
327	2
328	1
329	0
330	0
331	0
332	0
333	0
334	3
335	2
336	1
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	1
347	2
348	0
349	0
350	1
351	1
352	1
353	0
354	0
355	1
356	1
357	0
358	0
359	1
360	0
361	1
362	0
363	3
364	0
365	1
366	0
367	0
368	0
369	3
370	0
371	0
372	1
373	2
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	1
389	1
390	0
391	1
392	0
393	0
394	0
395	0
396	1
397	0
398	0
399	0
400	0
401	1
402	0
403	0
404	1
405	0
406	2
407	0
408	1
409	0
410	0
411	0
412	0
413	0
414	1
415	0
416	2
417	0
418	0
419	0
420	0
421	0
422	0
423	2
424	0
425	0
426	0
427	0
428	0
429	1
430	0
431	0
432	1
433	1
434	2
435	0
436	0
437	0
438	1
439	0
440	0
441	0
442	0
443	1
444	0
445	0
446	1
447	0
448	0
449	0
450	0
451	0
452	0
453	1
454	0
455	1
456	0
457	1
458	2
459	0
460	1
461	0
462	0
463	1
464	1
465	0
466	1
467	1
468	0
469	0
470	1
471	0
472	2
473	0
474	0
475	0
476	2
477	0
478	2
479	1
480	0
481	0
482	0
483	1
484	3
485	1
486	0
487	1
488	1
489	0
490	0
491	0
492	0
493	0
494	1
495	0
496	1
497	0
498	0
499	0
500	0
501	0
502	1
503	1
504	0
505	1
506	1
507	0
508	1
509	0
510	0
511	1
512	0
513	0
514	1
515	1
516	0
517	0
518	0
519	0
520	1
521	0
522	0
523	1
524	0
525	0
526	1
527	1
528	0
529	0
530	0
531	1
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	1
549	1
550	0
551	1
552	1
553	1
554	0
555	0
556	2
557	0
558	2
559	0
560	0
561	0
562	1
563	1
564	0
565	0
566	0
567	0
568	1
569	1
570	1
571	1
572	0
573	1
574	1
575	0
576	0
577	0
578	0
579	1
580	2
581	1
582	1
583	0
584	0
585	1
586	0
587	0
588	1
589	1
590	0
591	0
592	0
593	0
594	0
595	2
596	1
597	0
598	1
599	1
600	2
601	0
602	1
603	1
604	2
605	0
606	0
607	3
608	1
609	0
610	0
611	1
612	0
613	0
614	2
615	0
616	0
617	0
618	0
619	0
620	2
621	1
622	0
623	2
624	0
625	0
626	1
627	0
628	0
629	1
630	0
631	1
632	1
633	1
634	0
635	2
636	0
637	2
638	0
639	0
640	1
641	1
642	0
643	0
644	0
645	1
646	0
647	1
648	2
649	1
650	0
651	0
652	0
653	0
654	1
655	1
656	2
657	0
658	0
659	1
660	1
661	0
662	0
663	1
664	0
665	2
666	2
667	0
668	1
669	1
670	0
671	1
672	0
673	1
674	1
675	0
676	0
677	1
678	1
679	0
680	0
681	0
682	0
683	0
684	0
685	0
686	0
687	0
688	0
689	1
690	0
691	2
692	0
693	1
694	2
695	0
696	3
697	1
698	0
699	2
700	2
701	0
702	0
703	1
704	1
705	0
706	1
707	1
708	2
709	0
710	0
711	0
712	0
713	1
714	1
715	1
716	0
717	0
718	0
719	0
720	1
721	0
722	1
723	2
724	0
725	0
726	0
727	1
728	0
729	0
730	0
731	0
732	1
733	0
734	0
735	1
736	0
737	0
738	1
739	0
740	1
741	1
742	2
743	0
744	1
745	1
746	0
747	1
748	0
749	2
750	0
751	0
752	0
753	1
754	0
755	0
756	0
757	0
758	0
759	0
760	1
761	1
762	0
763	0
764	3
765	1
766	0
767	0
768	1
769	0
770	0
771	1
772	0
773	0
774	1
775	0
776	0
777	1
778	2
779	0
780	0
781	0
782	1
783	1
784	2
785	1
786	0
787	0
788	0
789	1
790	0
791	1
792	2
793	2
794	1
795	0
796	0
797	0
798	0
799	0
800	1
801	0
802	1
803	0
804	1
805	0
806	0
807	0
808	0
809	1
810	2
811	0
812	1
