SPEC_ID:	'No sample description was entered.'
SPEC_REM:	'DET# 1'
DATE_MEA:	'09/21/2017 09:44:12'
MEAS_TIM:	'120 120'
DATA:	'0 2047'
ROI:	'0'
PRESETS:	'Live Time'
ENER_FIT:	'0.000000 0.002526'
MCA_CAL:	'3'
SHAPE_CAL:	'3'

Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	1
200	3
201	1
202	2
203	1
204	2
205	3
206	0
207	2
208	3
209	1
210	3
211	4
212	2
213	1
214	2
215	1
216	2
217	2
218	1
219	2
220	2
221	2
222	1
223	1
224	6
225	1
226	1
227	2
228	2
229	1
230	2
231	1
232	2
233	1
234	1
235	1
236	1
237	2
238	4
239	1
240	2
241	2
242	4
243	0
244	0
245	0
246	3
247	2
248	1
249	1
250	4
251	1
252	4
253	3
254	1
255	1
256	1
257	1
258	1
259	1
260	2
261	2
262	3
263	1
264	1
265	0
266	2
267	5
268	3
269	2
270	1
271	0
272	2
273	2
274	1
275	5
276	3
277	1
278	1
279	2
280	1
281	4
282	2
283	2
284	3
285	0
286	0
287	2
288	0
289	5
290	1
291	4
292	2
293	2
294	3
295	1
296	3
297	2
298	0
299	3
300	1
301	1
302	1
303	1
304	3
305	3
306	1
307	3
308	1
309	1
310	0
311	2
312	2
313	1
314	2
315	0
316	1
317	1
318	3
319	1
320	1
321	3
322	1
323	1
324	2
325	1
326	2
327	6
328	3
329	1
330	0
331	1
332	2
333	3
334	2
335	0
336	6
337	1
338	2
339	1
340	1
341	0
342	3
343	0
344	3
345	2
346	2
347	2
348	1
349	4
350	5
351	4
352	4
353	0
354	1
355	3
356	0
357	2
358	2
359	2
360	1
361	0
362	1
363	2
364	2
365	1
366	1
367	1
368	4
369	4
370	2
371	2
372	0
373	1
374	3
375	1
376	1
377	1
378	2
379	0
380	2
381	3
382	2
383	2
384	2
385	0
386	0
387	0
388	2
389	2
390	0
391	0
392	0
393	3
394	1
395	2
396	1
397	0
398	0
399	0
400	4
401	3
402	0
403	2
404	0
405	3
406	1
407	1
408	1
409	3
410	0
411	2
412	1
413	2
414	2
415	1
416	2
417	2
418	2
419	2
420	0
421	1
422	1
423	2
424	3
425	1
426	1
427	2
428	3
429	3
430	2
431	1
432	0
433	1
434	1
435	0
436	4
437	0
438	2
439	3
440	3
441	1
442	0
443	1
444	1
445	2
446	1
447	3
448	0
449	1
450	2
451	0
452	2
453	2
454	3
455	2
456	5
457	3
458	0
459	4
460	2
461	1
462	2
463	4
464	2
465	2
466	1
467	2
468	3
469	4
470	7
471	2
472	2
473	1
474	1
475	2
476	1
477	2
478	2
479	4
480	0
481	0
482	1
483	2
484	2
485	1
486	2
487	1
488	1
489	1
490	1
491	2
492	3
493	2
494	1
495	4
496	0
497	0
498	0
499	0
500	1
501	2
502	2
503	0
504	2
505	2
506	2
507	2
508	3
509	1
510	0
511	5
512	2
513	3
514	2
515	4
516	2
517	4
518	0
519	1
520	3
521	0
522	0
523	4
524	0
525	2
526	5
527	0
528	4
529	1
530	3
531	1
532	1
533	1
534	2
535	3
536	4
537	0
538	2
539	2
540	1
541	3
542	5
543	2
544	1
545	3
546	1
547	2
548	0
549	1
550	2
551	1
552	3
553	2
554	2
555	2
556	2
557	1
558	2
559	1
560	2
561	2
562	1
563	5
564	4
565	3
566	0
567	1
568	0
569	4
570	2
571	0
572	1
573	0
574	2
575	2
576	1
577	4
578	0
579	0
580	2
581	1
582	5
583	1
584	3
585	1
586	3
587	4
588	1
589	1
590	1
591	3
592	1
593	1
594	1
595	5
596	3
597	1
598	0
599	1
600	1
601	1
602	0
603	3
604	0
605	4
606	1
607	1
608	2
609	2
610	1
611	3
612	5
613	3
614	3
615	4
616	3
617	5
618	1
619	1
620	3
621	1
622	1
623	2
624	0
625	2
626	1
627	2
628	2
629	0
630	2
631	3
632	1
633	2
634	4
635	4
636	0
637	1
638	3
639	6
640	2
641	3
642	0
643	4
644	3
645	2
646	4
647	3
648	3
649	4
650	3
651	2
