SPEC_ID:	'No sample description was entered.'
SPEC_REM:	'DET# 1'
DATE_MEA:	'09/19/2017 09:21:29'
MEAS_TIM:	'120 120'
DATA:	'0 2047'
ROI:	'0'
PRESETS:	'Live Time'
ENER_FIT:	'0.000000 0.002526'
MCA_CAL:	'3'
SHAPE_CAL:	'3'

Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	1
198	1
199	1
200	1
201	2
202	1
203	2
204	2
205	1
206	2
207	2
208	1
209	0
210	1
211	2
212	0
213	1
214	0
215	0
216	1
217	1
218	3
219	0
220	1
221	1
222	0
223	0
224	2
225	1
226	2
227	1
228	2
229	1
230	0
231	0
232	3
233	2
234	5
235	0
236	0
237	0
238	0
239	1
240	0
241	1
242	3
243	2
244	4
245	0
246	2
247	2
248	1
249	1
250	0
251	0
252	0
253	1
254	3
255	0
256	0
257	2
258	1
259	1
260	1
261	0
262	1
263	0
264	2
265	0
266	3
267	0
268	1
269	2
270	0
271	0
272	2
273	1
274	1
275	2
276	0
277	0
278	1
279	1
280	2
281	1
282	3
283	0
284	2
285	0
286	3
287	0
288	3
289	2
290	1
291	0
292	0
293	1
294	0
295	1
296	6
297	1
298	1
299	1
300	0
301	2
302	1
303	2
304	3
305	2
306	2
307	1
308	2
309	2
310	1
311	5
312	0
313	1
314	2
315	1
316	2
317	5
318	1
319	0
320	1
321	3
322	1
323	1
324	0
325	0
326	1
327	2
328	3
329	1
330	0
331	1
332	1
333	1
334	1
335	1
336	2
337	0
338	1
339	1
340	2
341	1
342	3
343	1
344	1
345	2
346	0
347	0
348	0
349	2
350	2
351	2
352	0
353	2
354	0
355	0
356	3
357	0
358	1
359	2
360	0
361	0
362	1
363	1
364	4
365	2
366	1
367	0
368	1
369	2
370	1
371	0
372	2
373	1
374	0
375	3
376	0
377	1
378	0
379	0
380	2
381	0
382	1
383	0
384	0
385	0
386	2
387	1
388	3
389	2
390	0
391	3
392	1
393	1
394	1
395	0
396	1
397	1
398	0
399	0
400	0
401	5
402	0
403	0
404	0
405	1
406	3
407	1
408	0
409	0
410	1
411	0
412	0
413	2
414	2
415	1
416	1
417	3
418	0
419	3
420	1
421	2
422	0
423	1
424	1
425	2
426	6
427	3
428	1
429	3
430	2
431	2
432	2
433	0
434	2
435	1
436	2
437	0
438	1
439	0
440	1
441	0
442	0
443	1
444	1
445	3
446	4
447	1
448	0
449	3
450	1
451	1
452	3
453	0
454	2
455	2
456	1
457	2
458	1
459	1
460	1
461	2
462	0
463	1
464	1
465	3
466	1
467	1
468	1
469	2
470	2
471	4
472	6
473	1
474	1
475	4
476	1
477	1
478	3
479	2
480	1
481	1
482	1
483	4
484	1
485	2
486	3
487	3
488	3
489	2
490	3
491	0
492	0
493	2
494	1
495	1
496	0
497	0
498	1
499	2
500	4
501	1
502	1
503	4
504	2
505	1
506	0
507	1
508	0
509	4
510	4
511	4
512	4
513	0
514	0
515	3
516	0
517	2
518	3
519	1
520	1
521	0
522	1
523	2
524	0
525	1
526	2
527	0
528	0
529	1
530	1
531	2
532	1
533	3
534	5
535	2
536	0
537	2
538	1
539	2
540	1
541	1
542	1
543	1
544	1
545	0
546	0
547	3
548	0
549	0
550	1
551	1
552	5
553	3
554	1
555	2
556	1
557	1
558	3
559	1
560	1
561	2
562	1
563	2
564	3
565	0
566	5
567	0
568	0
569	2
570	2
571	1
572	3
573	1
574	1
575	0
576	0
577	1
578	1
579	1
580	2
581	1
582	4
583	2
584	0
585	1
586	3
587	3
588	1
589	0
590	4
591	1
592	1
593	3
594	2
595	0
596	1
597	3
598	0
599	1
600	3
601	1
602	0
603	1
604	2
605	3
606	2
607	1
608	4
609	1
610	1
611	0
612	3
613	1
614	4
615	4
616	0
617	1
618	1
619	2
620	4
621	1
622	3
623	1
624	1
625	2
626	1
627	0
628	1
629	0
630	4
631	4
632	2
633	1
634	0
635	5
636	6
637	2
638	4
639	2
640	1
641	1
642	0
643	2
644	1
645	1
646	0
647	1
648	2
649	2
650	2
651	4
652	1
653	6
654	4
655	2
656	1
657	1
658	1
659	2
660	3
661	1
662	0
663	1
664	1
665	2
666	4
667	1
668	2
669	3
670	1
671	2
672	0
673	3
674	1
675	3
676	2
677	0
678	4
679	1
680	5
681	1
682	3
683	3
684	3
685	2
686	1
687	2
688	1
689	3
690	4
691	2
692	0
693	1
694	2
695	0
696	1
697	2
698	4
699	1
700	2
701	1
702	0
703	1
704	1
705	3
706	3
707	1
708	3
709	5
710	0
711	3
712	1
713	6
714	0
715	1
716	1
717	2
718	2
719	2
720	1
721	2
722	1
723	0
724	1
725	2
726	1
727	0
728	1
729	4
730	1
731	2
732	5
733	6
734	1
735	2
736	1
737	2
738	1
739	1
740	1
741	1
742	3
743	1
744	0
745	0
746	1
747	3
748	1
749	1
750	3
751	2
752	2
753	0
754	1
755	2
756	2
757	1
758	1
759	1
760	3
761	1
762	2
763	1
764	3
765	3
766	1
767	1
768	3
769	1
770	2
771	3
772	2
773	1
774	3
775	3
776	0
777	3
778	2
779	3
780	2
781	3
782	3
783	2
784	4
785	3
786	1
787	3
788	1
789	0
790	1
791	3
792	2
793	1
794	2
795	0
796	4
797	2
798	1
799	2
