SPEC_ID:	'No sample description was entered.'
SPEC_REM:	'DET# 1'
DATE_MEA:	'09/21/2017 10:41:28'
MEAS_TIM:	'120 120'
DATA:	'0 2047'
ROI:	'0'
PRESETS:	'Live Time'
ENER_FIT:	'0.000000 0.002526'
MCA_CAL:	'3'
SHAPE_CAL:	'3'

Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	1
200	1
201	4
202	2
203	1
204	1
205	2
206	1
207	5
208	2
209	0
210	1
211	3
212	0
213	1
214	1
215	2
216	3
217	1
218	0
219	1
220	1
221	1
222	1
223	0
224	2
225	4
226	3
227	2
228	2
229	2
230	1
231	2
232	1
233	1
234	0
235	2
236	0
237	3
238	1
239	3
240	0
241	0
242	2
243	1
244	0
245	1
246	1
247	1
248	1
249	0
250	1
251	2
252	4
253	1
254	2
255	2
256	3
257	3
258	2
259	3
260	2
261	1
262	1
263	4
264	2
265	0
266	3
267	0
268	3
269	0
270	0
271	3
272	0
273	1
274	2
275	0
276	2
277	1
278	1
279	2
280	2
281	0
282	2
283	1
284	1
285	0
286	3
287	1
288	3
289	0
290	3
291	2
292	0
293	0
294	0
295	2
296	4
297	1
298	1
299	0
300	5
301	1
302	6
303	0
304	1
305	2
306	3
307	3
308	0
309	2
310	1
311	0
312	1
313	2
314	0
315	1
316	0
317	5
318	0
319	1
320	4
321	1
322	1
323	0
324	3
325	1
326	3
327	1
328	2
329	1
330	6
331	2
332	1
333	3
334	1
335	4
336	4
337	1
338	3
339	3
340	2
341	0
342	2
343	1
344	4
345	3
346	2
347	2
348	2
349	1
350	2
351	0
352	2
353	0
354	4
355	0
356	2
357	1
358	2
359	1
360	1
361	0
362	0
363	2
364	2
365	3
366	3
367	1
368	2
369	3
370	0
371	3
372	2
373	2
374	4
375	3
376	2
377	2
378	2
379	1
380	2
381	0
382	3
383	0
384	2
385	7
386	3
387	2
388	2
389	2
390	5
391	2
392	1
393	4
394	5
395	2
396	3
397	2
398	2
399	1
400	2
401	1
402	2
403	1
404	4
405	1
406	0
407	4
408	2
409	4
410	1
411	4
412	3
413	0
414	2
415	2
416	2
417	1
418	4
419	4
420	7
421	2
422	0
423	1
424	1
425	4
426	6
427	3
428	4
429	2
430	1
431	3
432	3
433	5
434	1
435	4
436	2
437	3
438	0
439	5
440	6
441	2
442	4
443	3
444	3
445	2
446	1
447	1
448	3
449	5
450	4
451	4
452	0
453	0
454	5
455	1
456	2
457	1
458	3
459	1
460	3
461	6
462	4
463	1
464	2
465	2
466	4
467	1
468	3
469	1
470	5
471	3
472	3
473	1
474	1
475	2
476	3
477	5
478	1
479	1
480	5
481	5
482	3
483	2
484	1
485	4
486	1
487	1
488	1
489	5
490	2
491	4
492	4
493	1
494	4
495	4
496	4
497	5
498	4
499	2
500	3
501	2
502	1
503	2
504	2
505	3
506	5
507	1
508	1
509	3
510	1
511	5
512	6
513	4
514	1
515	2
516	3
517	2
518	2
519	2
520	2
521	1
522	3
523	4
524	4
525	3
526	2
527	4
528	7
529	0
530	1
531	4
532	2
533	1
534	0
535	2
536	5
537	3
538	4
539	1
540	3
541	6
542	3
543	1
544	3
545	2
546	4
547	1
548	2
549	3
550	1
551	3
552	4
553	1
554	3
555	4
556	3
557	5
558	2
559	6
560	4
561	2
562	3
563	2
564	2
565	1
566	4
567	5
568	4
569	5
570	5
571	5
572	1
573	4
574	1
575	5
576	6
577	1
578	4
579	5
580	3
581	6
582	4
583	3
584	5
585	4
586	2
587	5
588	5
589	4
590	4
591	4
592	6
593	1
594	3
595	7
596	9
597	5
598	6
599	7
600	6
601	1
602	4
603	7
604	5
605	7
606	9
607	6
608	6
609	1
610	10
611	1
612	4
613	7
614	3
615	5
616	7
617	6
618	2
619	7
620	8
621	7
622	6
623	8
624	5
625	7
626	8
627	8
628	7
629	11
630	5
631	7
632	14
633	9
634	6
635	8
636	6
637	6
638	9
639	12
640	10
641	8
642	13
643	10
644	21
645	8
646	8
647	10
648	6
649	12
650	17
651	9
652	8
653	18
654	7
655	13
656	15
657	9
658	18
659	16
660	8
661	17
662	13
663	17
664	18
665	25
666	14
667	24
668	18
669	22
670	10
671	16
672	20
673	9
674	27
675	25
676	18
677	22
678	26
679	22
680	14
681	19
682	20
683	27
684	16
685	18
686	22
687	42
688	31
689	35
690	22
691	26
692	37
693	28
694	23
695	34
696	33
697	43
698	24
699	29
700	41
701	38
702	31
703	38
704	26
705	33
706	43
707	46
708	44
709	50
710	37
711	41
712	40
713	56
714	37
715	57
716	53
717	50
718	46
719	46
720	59
721	66
722	39
723	53
724	56
725	54
726	65
727	57
728	64
729	76
730	80
731	95
732	64
733	76
734	71
735	72
736	90
737	82
738	69
739	83
740	98
741	64
742	81
743	77
744	86
745	64
746	96
747	95
748	78
749	88
750	91
751	87
752	100
753	97
754	101
755	111
756	115
757	92
758	126
759	102
760	121
761	122
762	109
763	117
764	92
765	123
766	105
767	121
768	125
769	113
770	119
771	135
772	120
773	132
774	141
775	137
776	154
777	149
778	133
779	141
780	144
781	155
782	126
783	133
784	130
785	153
786	165
787	157
788	161
789	171
790	141
791	161
792	172
793	175
794	178
795	184
796	178
797	164
798	151
799	174
800	171
801	168
802	173
803	158
804	176
805	188
806	168
807	160
808	155
809	178
810	179
811	192
812	193
813	197
814	194
815	181
816	194
817	217
818	195
819	191
820	168
821	216
822	202
823	207
824	220
825	218
826	228
827	228
828	200
829	215
830	212
831	206
832	202
833	188
834	209
835	204
836	214
