SPEC_ID:	'No sample description was entered.'
SPEC_REM:	'DET# 1'
DATE_MEA:	'09/19/2017 10:06:36'
MEAS_TIM:	'120 120'
DATA:	'0 2047'
ROI:	'0'
PRESETS:	'Live Time'
ENER_FIT:	'0.000000 0.002526'
MCA_CAL:	'3'
SHAPE_CAL:	'3'

Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	3
199	1
200	2
201	2
202	1
203	1
204	0
205	1
206	2
207	1
208	2
209	2
210	1
211	2
212	0
213	2
214	3
215	3
216	1
217	1
218	4
219	1
220	2
221	2
222	1
223	3
224	1
225	4
226	2
227	5
228	2
229	4
230	0
231	2
232	0
233	4
234	0
235	2
236	2
237	4
238	2
239	4
240	1
241	0
242	1
243	1
244	1
245	4
246	1
247	5
248	1
249	3
250	0
251	0
252	1
253	2
254	1
255	0
256	3
257	3
258	2
259	3
260	5
261	2
262	2
263	1
264	1
265	0
266	1
267	1
268	2
269	5
270	0
271	1
272	2
273	0
274	2
275	0
276	2
277	0
278	0
279	3
280	3
281	2
282	3
283	4
284	2
285	2
286	1
287	2
288	5
289	4
290	2
291	0
292	1
293	3
294	3
295	4
296	1
297	2
298	1
299	0
300	1
301	2
302	4
303	2
304	2
305	3
306	0
307	3
308	2
309	5
310	3
311	4
312	1
313	2
314	0
315	2
316	1
317	2
318	2
319	0
320	0
321	1
322	0
323	2
324	2
325	2
326	2
327	1
328	5
329	1
330	1
331	0
332	0
333	1
334	3
335	2
336	3
337	1
338	1
339	4
340	2
341	0
342	1
343	1
344	2
345	5
346	2
347	0
348	3
349	0
350	0
351	1
352	2
353	1
354	1
355	0
356	1
357	2
358	2
359	3
360	3
361	2
362	1
363	2
364	2
365	5
366	1
367	1
368	1
369	0
370	3
371	0
372	1
373	3
374	0
375	3
376	1
377	1
378	2
379	1
380	3
381	1
382	3
383	3
384	4
385	3
386	4
387	1
388	1
389	1
390	1
391	0
392	0
393	2
394	2
395	3
396	3
397	6
398	2
399	3
400	0
401	3
402	1
403	5
404	1
405	1
406	3
407	5
408	4
409	2
410	2
411	1
412	0
413	1
414	3
415	3
416	7
417	1
418	0
419	0
420	0
421	0
422	4
423	1
424	1
425	3
426	1
427	2
428	1
429	2
430	3
431	1
432	1
433	0
434	2
435	0
436	4
437	2
438	0
439	1
440	3
441	4
442	0
443	1
444	0
445	0
446	3
447	2
448	2
449	4
450	1
451	1
452	1
453	0
454	4
455	1
456	4
457	1
458	6
459	2
460	2
461	0
462	3
463	1
464	1
465	3
466	2
467	2
468	0
469	3
470	1
471	2
472	2
473	3
474	2
475	2
476	5
477	3
478	1
479	2
480	0
481	4
482	1
483	3
484	2
485	0
486	1
487	3
488	1
489	2
490	1
491	1
492	2
493	1
494	4
495	1
496	2
497	2
498	2
499	1
500	4
501	3
502	5
503	2
504	0
505	3
506	1
507	1
508	0
509	4
510	0
511	1
512	3
513	2
514	1
515	1
516	1
517	5
518	3
519	2
520	0
521	5
522	4
523	3
524	2
525	2
526	0
527	3
528	3
529	0
530	2
531	1
532	2
533	0
534	2
535	4
536	1
537	0
538	1
539	2
540	3
541	0
542	4
543	2
544	2
545	3
546	4
547	3
548	3
549	1
550	4
551	5
552	1
553	5
554	3
555	1
556	2
557	2
558	3
559	1
560	2
561	1
562	1
563	2
564	2
565	3
566	1
567	6
568	5
569	3
570	0
571	3
572	5
573	5
574	3
575	1
576	1
577	4
578	4
579	6
580	3
581	3
582	5
583	1
584	0
585	2
586	1
587	2
588	4
589	1
590	3
591	1
592	2
593	4
594	2
595	0
596	7
597	3
598	2
599	2
600	3
601	1
602	3
603	2
604	3
605	2
606	3
607	4
608	4
609	0
610	5
611	0
612	5
613	2
614	2
615	1
616	4
617	1
618	2
619	2
620	2
621	4
622	5
623	3
624	4
625	4
626	1
627	1
628	2
629	0
630	3
631	1
632	1
633	0
634	5
635	3
636	5
637	0
638	1
639	2
640	3
641	4
642	1
643	2
644	4
645	1
646	4
647	6
648	1
649	1
650	1
651	4
652	3
653	2
654	4
655	4
656	3
657	2
658	3
659	1
660	2
661	1
662	3
663	2
664	4
665	2
666	4
667	2
668	1
669	1
670	3
671	1
672	0
673	3
674	1
675	2
676	2
677	2
678	4
679	1
680	3
681	1
682	2
683	1
684	4
685	3
686	2
687	2
688	2
689	2
690	3
691	2
692	4
693	1
694	4
695	2
696	6
697	5
698	1
699	0
700	0
701	2
702	3
703	1
704	3
705	1
706	1
707	1
708	5
709	1
710	3
711	3
712	1
713	3
714	8
715	2
716	2
717	3
718	3
719	4
720	2
721	1
722	1
723	4
724	4
725	4
726	1
727	7
728	2
729	3
730	5
731	8
732	5
733	2
734	1
735	0
736	2
737	3
738	5
739	3
740	1
741	4
742	0
743	4
744	2
745	2
746	2
747	4
748	2
749	4
750	4
751	2
752	3
753	3
754	0
755	1
756	5
757	4
758	2
759	7
760	1
761	5
762	7
763	2
764	3
765	2
766	3
767	3
768	0
769	3
770	5
771	5
772	3
773	2
774	4
775	4
776	2
777	0
778	4
779	6
780	3
781	4
782	1
783	4
784	1
785	4
786	4
787	2
788	4
789	2
790	3
791	3
792	1
793	0
794	4
795	6
796	4
797	1
798	0
799	4
800	3
801	5
802	1
803	5
804	4
805	3
806	1
807	4
808	4
809	3
810	3
811	3
812	0
813	2
814	2
815	3
816	3
817	2
818	0
819	3
820	0
821	2
822	3
823	2
824	3
825	4
826	3
827	2
828	5
829	2
830	3
831	3
832	3
833	3
834	2
835	4
836	1
837	4
838	3
839	5
840	0
841	1
842	4
843	2
844	1
845	2
846	4
847	4
848	4
849	2
850	3
851	4
852	3
853	3
854	0
855	3
856	4
857	2
858	5
859	1
860	4
861	3
862	0
863	5
864	5
865	8
866	2
867	1
868	6
869	3
870	2
871	0
872	2
873	2
874	2
875	2
876	5
877	3
878	0
879	4
880	5
881	1
882	5
883	3
884	0
885	3
886	1
887	1
888	5
889	2
890	3
891	3
892	2
893	5
894	6
895	1
896	3
897	2
898	5
899	2
900	1
901	1
902	3
903	3
904	5
905	3
906	3
907	7
908	2
909	2
910	3
911	5
912	2
913	0
914	5
915	1
916	2
917	1
918	1
919	0
920	2
921	2
922	5
923	3
924	1
925	2
926	1
927	1
928	0
929	4
930	3
931	0
932	3
933	3
934	1
935	2
936	3
937	3
938	4
939	4
940	5
941	3
942	2
943	3
944	5
945	2
946	3
947	3
948	2
949	5
950	4
951	2
952	5
953	2
954	3
955	3
956	4
957	1
958	4
959	2
960	2
961	7
962	3
963	1
964	4
965	5
966	2
967	6
968	2
969	4
970	2
971	1
972	3
973	6
974	1
975	2
976	3
977	2
978	0
979	1
980	4
981	3
982	0
983	1
984	5
985	5
986	5
987	1
988	0
989	5
990	3
991	5
992	0
993	4
994	3
995	2
996	1
997	2
998	2
999	2
1000	3
1001	3
1002	5
1003	4
1004	3
1005	2
1006	1
1007	1
1008	2
1009	1
1010	1
1011	3
1012	2
1013	2
1014	2
1015	3
1016	2
1017	3
1018	1
1019	4
1020	4
1021	1
1022	1
1023	1
1024	3
1025	3
1026	1
1027	1
1028	2
1029	1
1030	4
1031	2
1032	2
1033	0
1034	1
1035	2
1036	1
1037	4
1038	1
1039	4
1040	3
1041	3
1042	1
1043	3
1044	5
1045	0
1046	1
1047	2
1048	5
1049	4
1050	0
1051	4
1052	1
1053	3
1054	3
1055	3
1056	1
1057	2
1058	4
1059	2
1060	7
1061	2
1062	3
1063	4
1064	4
1065	3
1066	2
1067	6
1068	4
1069	5
1070	5
1071	3
1072	2
1073	0
1074	5
1075	1
1076	3
1077	4
1078	6
1079	1
1080	2
1081	2
1082	2
1083	2
1084	1
1085	1
1086	1
1087	3
1088	2
1089	5
1090	1
1091	3
1092	4
1093	3
1094	6
1095	2
1096	2
1097	4
1098	1
1099	3
1100	3
