SPEC_ID:	'No sample description was entered.'
SPEC_REM:	'DET# 1'
DATE_MEA:	'09/21/2017 09:20:12'
MEAS_TIM:	'120 120'
DATA:	'0 2047'
ROI:	'0'
PRESETS:	'Live Time'
ENER_FIT:	'0.000000 0.002526'
MCA_CAL:	'3'
SHAPE_CAL:	'3'

Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	3
199	0
200	2
201	0
202	0
203	1
204	1
205	1
206	1
207	3
208	2
209	2
210	1
211	0
212	2
213	1
214	3
215	2
216	2
217	0
218	2
219	2
220	1
221	3
222	2
223	0
224	0
225	3
226	1
227	0
228	2
229	0
230	1
231	2
232	0
233	1
234	2
235	3
236	0
237	3
238	3
239	1
240	2
241	0
242	4
243	1
244	2
245	2
246	2
247	0
248	0
249	0
250	3
251	0
252	1
253	0
254	2
255	1
256	1
257	0
258	1
259	1
260	0
261	0
262	0
263	1
264	0
265	2
266	1
267	2
268	0
269	1
270	3
271	0
272	4
273	3
274	3
275	2
276	0
277	0
278	1
279	1
280	1
281	1
282	1
283	2
284	2
285	1
286	3
287	2
288	0
289	3
290	3
291	4
292	0
293	1
294	1
295	3
296	3
297	1
298	0
299	3
300	0
301	1
302	1
303	3
304	1
305	3
306	4
307	3
308	0
309	1
310	1
311	2
312	0
313	0
314	1
315	3
316	0
317	3
318	2
319	0
320	0
321	1
322	0
323	2
324	4
325	2
326	1
327	3
328	0
329	2
330	2
331	1
332	1
333	2
334	2
335	3
336	3
337	3
338	2
339	1
340	2
341	3
342	1
343	3
344	1
345	0
346	1
347	3
348	3
349	1
350	1
351	3
352	2
353	1
354	2
355	3
356	0
357	1
358	1
359	2
360	1
361	1
362	1
363	1
364	1
365	1
366	1
367	0
368	2
369	0
370	0
371	2
372	1
373	0
374	2
375	2
376	1
377	2
378	3
379	2
380	3
381	3
382	2
383	1
384	2
385	2
386	3
387	5
388	3
389	2
390	3
391	1
392	1
393	2
394	3
395	1
396	0
397	2
398	3
399	2
400	0
401	2
402	2
403	3
404	1
405	2
406	1
407	0
408	1
409	1
410	3
411	1
412	1
413	2
414	3
415	0
416	2
417	4
418	0
419	6
420	2
421	1
422	2
423	0
424	2
425	2
426	2
427	0
428	4
429	2
430	1
431	0
432	4
433	1
434	0
435	3
436	1
437	4
438	0
439	0
440	2
441	1
442	4
443	1
444	2
445	0
446	0
447	1
448	1
449	2
450	1
451	3
452	2
453	0
454	4
455	1
456	3
457	2
458	0
459	0
460	2
461	1
462	5
463	0
464	2
465	1
466	5
467	1
468	3
469	5
470	3
471	0
472	0
473	2
474	1
475	1
476	2
477	4
478	2
479	0
480	1
481	2
482	2
483	1
484	1
485	0
486	2
487	3
488	2
489	0
490	1
491	4
492	1
493	2
494	1
495	4
496	0
497	3
498	1
499	0
500	0
501	2
502	1
503	0
504	3
505	4
506	1
507	2
508	4
509	1
510	4
511	0
512	0
513	1
514	2
515	3
516	2
517	3
518	0
519	6
520	1
521	4
522	2
523	1
524	2
525	0
526	1
527	0
528	3
529	2
530	0
531	3
532	0
533	2
534	2
535	3
536	0
537	4
538	1
539	3
540	1
541	1
542	0
543	2
544	3
545	2
546	4
547	1
548	3
549	1
550	4
551	3
552	3
553	3
554	0
555	0
556	2
557	2
558	1
559	2
560	2
561	3
562	5
563	1
564	3
565	3
566	3
567	1
568	3
569	7
570	1
571	1
572	0
573	3
574	3
575	2
576	0
577	0
578	1
579	0
580	5
581	0
582	1
583	0
584	3
585	1
586	3
587	1
588	0
589	0
590	2
591	1
592	2
593	3
594	2
595	2
596	3
597	1
598	2
599	1
600	2
601	3
602	0
603	1
604	1
605	0
606	1
607	2
608	0
609	4
610	1
611	1
612	1
613	1
614	3
615	0
616	4
617	4
618	0
619	1
620	1
621	0
622	1
623	2
624	2
625	0
626	1
627	3
628	2
629	2
630	2
631	3
632	2
633	0
634	0
635	1
636	2
637	2
638	1
639	4
640	2
641	1
642	2
643	4
644	8
645	1
646	0
647	2
648	1
649	1
650	3
651	2
652	3
653	1
654	2
655	3
656	3
657	1
658	2
659	4
660	2
661	2
662	1
663	1
664	2
665	2
666	2
667	2
668	0
669	1
670	4
671	2
672	4
673	0
674	2
675	4
676	1
677	1
678	1
679	3
680	2
681	1
682	3
683	2
684	4
685	4
686	0
687	0
688	1
689	2
690	2
691	1
692	3
693	3
694	1
695	1
696	3
697	4
698	1
699	1
700	2
701	2
702	1
703	1
704	3
705	2
706	1
707	6
708	1
709	1
710	4
711	2
712	2
713	3
714	1
715	2
716	1
717	2
718	3
719	1
720	1
721	4
722	3
723	2
724	2
725	1
