SPEC_ID:	'No sample description was entered.'
SPEC_REM:	'DET# 1'
DATE_MEA:	'09/19/2017 10:02:35'
MEAS_TIM:	'120 120'
DATA:	'0 2047'
ROI:	'0'
PRESETS:	'Live Time'
ENER_FIT:	'0.000000 0.002526'
MCA_CAL:	'3'
SHAPE_CAL:	'3'

Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	2
199	4
200	2
201	2
202	2
203	0
204	4
205	6
206	2
207	1
208	2
209	1
210	2
211	1
212	1
213	1
214	0
215	1
216	3
217	2
218	2
219	1
220	3
221	1
222	0
223	1
224	5
225	0
226	1
227	1
228	2
229	0
230	4
231	3
232	3
233	3
234	1
235	3
236	1
237	3
238	3
239	3
240	2
241	0
242	2
243	1
244	1
245	1
246	1
247	2
248	1
249	3
250	0
251	0
252	5
253	2
254	4
255	1
256	1
257	4
258	1
259	1
260	1
261	3
262	1
263	3
264	0
265	1
266	1
267	0
268	2
269	1
270	0
271	2
272	1
273	0
274	2
275	1
276	3
277	1
278	2
279	2
280	1
281	4
282	0
283	3
284	3
285	3
286	1
287	2
288	0
289	3
290	1
291	0
292	2
293	1
294	1
295	1
296	2
297	2
298	3
299	1
300	2
301	0
302	0
303	1
304	2
305	0
306	1
307	2
308	0
309	0
310	0
311	1
312	6
313	2
314	3
315	1
316	1
317	3
318	1
319	3
320	2
321	3
322	2
323	1
324	1
325	1
326	1
327	3
328	0
329	2
330	1
331	1
332	2
333	0
334	4
335	1
336	7
337	3
338	0
339	2
340	1
341	2
342	4
343	2
344	6
345	2
346	0
347	2
348	3
349	2
350	2
351	4
352	1
353	1
354	2
355	2
356	2
357	1
358	1
359	1
360	0
361	2
362	3
363	0
364	0
365	2
366	1
367	4
368	3
369	0
370	5
371	2
372	2
373	2
374	1
375	0
376	5
377	1
378	0
379	1
380	3
381	2
382	6
383	2
384	3
385	2
386	2
387	1
388	1
389	1
390	2
391	3
392	5
393	3
394	1
395	3
396	3
397	1
398	1
399	1
400	0
401	0
402	1
403	0
404	0
405	1
406	3
407	1
408	0
409	4
410	5
411	2
412	1
413	0
414	1
415	1
416	4
417	2
418	2
419	2
420	1
421	4
422	1
423	3
424	3
425	2
426	0
427	2
428	3
429	3
430	3
431	2
432	0
433	1
434	3
435	1
436	2
437	1
438	1
439	5
440	2
441	1
442	1
443	2
444	0
445	1
446	2
447	1
448	0
449	0
450	2
451	0
452	3
453	1
454	2
455	1
456	1
457	0
458	1
459	6
460	1
461	4
462	0
463	1
464	1
465	2
466	3
467	1
468	0
469	2
470	1
471	4
472	2
473	1
474	2
475	4
476	3
477	1
478	4
479	4
480	6
481	5
482	2
483	3
484	5
485	1
486	1
487	2
488	1
489	0
490	3
491	2
492	1
493	2
494	0
495	1
496	3
497	2
498	0
499	4
500	1
501	6
502	0
503	0
504	1
505	2
506	2
507	1
508	0
509	2
510	1
511	1
512	6
513	1
514	3
515	4
516	1
517	0
518	1
519	1
520	3
521	4
522	2
523	1
524	1
525	0
526	2
527	1
528	1
529	1
530	1
531	1
532	3
533	1
534	2
535	1
536	3
537	2
538	3
539	2
540	4
541	5
542	7
543	4
544	3
545	4
546	2
547	3
548	1
549	3
550	3
551	3
552	2
553	0
554	4
555	4
556	6
557	7
558	2
559	1
560	2
561	3
562	2
563	0
564	1
565	2
566	0
567	0
568	3
569	4
570	2
571	1
572	0
573	0
574	2
575	0
576	2
577	2
578	5
579	2
580	1
581	2
582	2
583	1
584	1
585	2
586	0
587	3
588	4
589	1
590	3
591	3
592	1
593	5
594	5
595	5
596	0
597	1
598	4
599	2
600	2
601	3
602	4
603	0
604	3
605	1
606	2
607	0
608	2
609	0
610	0
611	6
612	1
613	2
614	0
615	0
616	5
617	3
618	2
619	1
620	3
621	0
622	2
623	5
624	0
625	2
626	1
627	1
628	1
629	1
630	0
631	6
632	0
633	0
634	6
635	0
636	1
637	2
638	1
639	2
640	2
641	3
642	1
643	2
644	1
645	3
646	4
647	1
648	4
649	2
650	0
651	0
652	5
653	1
654	0
655	4
656	3
657	1
658	4
659	0
660	2
661	1
662	1
663	1
664	2
665	2
666	3
667	0
668	2
669	1
670	1
671	4
672	2
673	0
674	1
675	3
676	5
677	1
678	3
679	1
680	2
681	0
682	4
683	3
684	1
685	6
686	7
687	2
688	2
689	0
690	5
691	2
692	4
693	2
694	5
695	1
696	2
697	0
698	5
699	1
700	2
701	4
702	0
703	9
704	5
705	2
706	1
707	2
708	1
709	2
710	3
711	2
712	2
713	5
714	2
715	2
716	2
717	2
718	6
719	2
720	2
721	1
722	1
723	0
724	1
725	2
726	4
727	4
728	3
729	3
730	5
731	1
732	2
733	4
734	5
735	0
736	2
737	3
738	1
739	3
740	0
741	2
742	2
743	3
744	2
745	1
746	3
747	3
748	2
749	2
750	4
751	5
752	5
753	0
754	1
755	2
756	1
757	2
758	2
759	6
760	9
761	3
762	2
763	2
764	2
765	1
766	6
767	4
768	2
769	6
770	5
771	1
772	3
773	6
774	1
775	1
776	4
777	1
778	7
779	6
780	2
781	2
782	3
783	5
784	4
785	4
786	2
787	3
788	1
789	6
790	2
791	2
792	1
793	1
794	3
795	2
796	3
797	4
798	4
799	0
800	1
801	2
802	3
803	4
804	2
805	2
806	2
807	5
808	4
809	1
810	2
811	0
812	4
813	1
814	3
815	3
816	4
817	2
818	2
819	6
820	1
821	2
822	1
823	0
824	1
825	2
826	3
827	2
828	2
829	5
830	0
831	3
832	3
833	4
834	2
835	3
836	4
837	5
838	4
839	8
840	4
841	4
842	2
843	2
844	4
845	2
846	1
847	1
848	1
849	6
850	3
851	3
852	2
853	2
854	4
855	2
856	4
857	4
858	2
859	5
860	2
861	2
862	4
863	2
864	3
865	5
866	0
867	7
868	3
869	3
870	3
871	2
872	2
873	3
874	2
875	1
876	3
877	2
878	1
879	3
880	3
881	2
882	4
883	1
884	4
885	4
886	5
887	5
888	2
889	2
890	5
891	2
892	0
893	3
894	3
895	1
896	2
897	1
898	2
899	3
900	2
901	4
902	1
903	4
904	3
905	2
906	2
907	4
908	4
909	3
910	4
911	3
912	1
913	6
914	2
915	5
916	1
917	4
918	5
919	6
920	2
921	3
922	3
923	1
924	3
925	2
926	5
927	3
928	5
929	3
930	2
931	4
932	4
933	6
934	3
935	3
936	2
937	4
938	2
939	2
940	6
941	4
942	1
943	0
944	5
945	1
946	3
947	1
948	3
949	1
950	2
951	6
952	2
953	1
954	2
955	5
956	1
957	0
958	3
959	5
960	5
961	2
962	1
963	5
964	5
965	3
966	2
967	1
968	3
969	0
970	0
971	4
972	3
973	2
974	4
975	3
976	2
977	5
978	1
979	4
980	3
981	1
982	1
983	2
984	3
985	5
986	4
987	3
988	4
989	5
990	4
991	0
992	3
993	3
994	4
995	1
996	3
997	4
998	4
999	2
1000	4
1001	3
1002	2
1003	6
1004	2
1005	2
1006	5
1007	1
1008	5
1009	0
1010	1
1011	3
1012	1
1013	6
1014	1
1015	8
1016	5
1017	3
1018	4
1019	1
1020	1
1021	2
1022	1
1023	7
1024	1
1025	1
1026	3
1027	2
1028	2
1029	2
1030	1
1031	1
1032	1
1033	0
1034	4
1035	2
1036	4
1037	4
1038	3
1039	2
1040	4
1041	4
1042	3
1043	5
1044	5
1045	3
1046	6
1047	3
1048	4
1049	1
1050	7
1051	3
1052	3
1053	2
1054	7
1055	6
1056	2
1057	5
1058	3
1059	1
1060	1
1061	2
1062	5
1063	4
1064	1
1065	2
1066	1
1067	1
1068	3
1069	1
1070	4
1071	1
1072	3
1073	2
1074	5
1075	4
1076	2
1077	4
1078	4
1079	2
1080	5
1081	4
1082	2
1083	4
1084	2
1085	1
1086	1
1087	2
1088	1
1089	0
1090	5
1091	3
1092	3
1093	3
1094	3
1095	3
1096	5
1097	1
1098	2
1099	4
1100	1
1101	1
1102	4
1103	5
1104	4
1105	4
1106	3
1107	4
1108	7
1109	3
1110	5
1111	2
1112	6
1113	2
1114	3
1115	4
1116	5
1117	1
1118	2
1119	4
1120	3
1121	1
1122	3
1123	4
1124	3
1125	1
1126	4
1127	1
1128	4
1129	2
1130	1
1131	5
1132	1
1133	2
1134	4
1135	3
1136	4
1137	4
1138	6
1139	0
1140	4
1141	5
1142	2
1143	4
1144	8
1145	3
1146	2
1147	6
1148	4
1149	3
1150	2
1151	2
1152	3
1153	0
1154	3
1155	2
1156	2
1157	6
1158	2
1159	4
1160	4
1161	2
1162	3
1163	5
1164	3
1165	2
1166	4
1167	2
1168	2
1169	1
1170	1
1171	1
1172	1
1173	2
1174	2
1175	5
1176	6
1177	5
1178	6
1179	2
1180	1
1181	2
1182	2
1183	0
1184	3
1185	1
1186	3
1187	3
1188	4
1189	1
1190	2
1191	6
1192	4
1193	2
1194	6
1195	4
1196	3
1197	8
1198	2
1199	2
1200	4
1201	6
1202	0
1203	2
1204	1
1205	2
1206	5
1207	4
1208	6
1209	5
1210	3
1211	5
1212	4
1213	3
1214	5
1215	7
1216	5
1217	3
1218	2
1219	3
1220	1
1221	3
1222	3
1223	3
1224	3
1225	5
1226	0
1227	5
1228	2
1229	3
1230	9
1231	6
1232	2
1233	4
1234	3
1235	1
1236	3
1237	4
1238	5
1239	1
1240	3
1241	1
1242	1
1243	3
1244	6
1245	6
1246	5
1247	5
1248	1
1249	4
1250	3
1251	4
1252	6
1253	5
1254	3
1255	7
1256	2
1257	3
1258	5
1259	4
1260	4
1261	8
1262	3
1263	2
1264	6
1265	6
1266	6
1267	4
1268	2
1269	6
1270	7
1271	5
1272	5
1273	11
1274	5
1275	4
1276	1
1277	6
1278	8
1279	2
1280	4
1281	5
1282	5
1283	6
1284	6
1285	8
1286	4
1287	9
1288	6
1289	7
1290	7
1291	5
1292	9
1293	7
1294	4
1295	7
1296	3
1297	11
1298	5
1299	4
1300	8
1301	3
1302	9
1303	6
1304	9
1305	8
1306	6
1307	3
1308	7
1309	10
1310	6
1311	10
1312	5
1313	8
1314	6
1315	5
1316	6
1317	8
1318	10
1319	15
1320	11
1321	9
1322	10
1323	3
1324	8
1325	6
1326	7
1327	6
1328	10
1329	8
1330	4
1331	3
1332	4
1333	8
1334	8
1335	5
1336	7
1337	8
1338	6
1339	2
1340	4
1341	7
1342	8
1343	3
1344	5
1345	7
1346	3
1347	6
1348	8
1349	7
1350	8
1351	7
1352	7
1353	7
1354	5
1355	2
1356	9
1357	7
1358	4
1359	6
1360	3
1361	4
1362	4
1363	3
1364	8
1365	10
1366	8
1367	5
1368	9
1369	8
1370	9
1371	7
1372	10
1373	5
1374	3
1375	5
1376	10
1377	7
1378	7
1379	8
1380	6
1381	6
1382	3
1383	5
1384	5
1385	11
1386	6
1387	6
1388	5
1389	6
1390	5
1391	6
1392	10
1393	9
1394	13
1395	10
1396	9
1397	3
1398	4
1399	7
1400	7
1401	9
1402	7
1403	8
1404	5
1405	4
1406	3
1407	5
1408	6
1409	7
1410	13
1411	7
1412	6
1413	10
1414	13
1415	6
1416	8
1417	8
1418	12
1419	8
1420	7
1421	10
1422	8
1423	10
1424	12
1425	11
1426	21
1427	12
1428	17
1429	13
1430	13
1431	9
1432	11
1433	18
1434	9
1435	15
1436	10
1437	22
1438	17
1439	19
1440	18
1441	23
1442	19
1443	26
1444	21
1445	19
1446	34
1447	20
1448	26
1449	20
1450	25
1451	27
1452	40
1453	27
1454	20
1455	37
1456	36
1457	26
1458	45
1459	31
1460	39
1461	47
1462	27
1463	36
1464	56
1465	50
1466	58
1467	64
1468	55
1469	58
1470	59
1471	55
1472	56
1473	64
1474	74
1475	50
1476	75
1477	76
1478	85
1479	69
1480	75
1481	101
1482	114
1483	89
1484	104
1485	82
1486	110
1487	127
1488	118
1489	104
1490	111
1491	127
1492	134
1493	137
1494	137
1495	142
1496	141
1497	148
1498	163
1499	143
1500	184
1501	195
1502	184
1503	192
1504	218
1505	187
1506	201
1507	226
1508	196
1509	222
1510	194
1511	234
1512	239
1513	272
1514	223
1515	270
1516	279
1517	281
1518	280
1519	276
1520	275
1521	281
1522	312
1523	322
1524	300
1525	321
1526	366
1527	319
1528	339
1529	366
1530	388
1531	382
1532	380
1533	397
1534	381
1535	376
1536	428
1537	397
1538	440
1539	382
1540	382
1541	451
1542	465
1543	466
1544	500
1545	457
1546	455
1547	477
1548	443
1549	455
1550	418
1551	479
1552	496
1553	476
1554	473
1555	475
1556	501
1557	479
1558	466
1559	519
1560	436
1561	510
1562	493
1563	517
1564	463
1565	507
1566	510
1567	486
1568	516
1569	493
1570	494
1571	483
1572	517
1573	461
1574	469
1575	442
1576	436
1577	473
1578	483
1579	462
1580	444
1581	439
1582	454
1583	406
1584	404
1585	431
1586	381
1587	383
1588	397
1589	361
1590	416
1591	376
1592	402
1593	378
1594	358
1595	349
1596	297
1597	375
1598	331
1599	314
1600	294
1601	310
1602	291
1603	286
1604	271
1605	269
1606	261
1607	285
1608	277
1609	256
1610	271
1611	241
1612	253
1613	204
1614	252
1615	231
1616	223
1617	192
1618	232
1619	189
1620	187
1621	173
1622	159
1623	154
1624	158
1625	129
1626	154
1627	156
1628	136
1629	117
1630	115
1631	134
1632	105
1633	109
1634	110
1635	109
1636	106
1637	103
1638	98
1639	84
1640	90
1641	86
1642	78
1643	100
1644	70
1645	74
1646	71
1647	68
1648	46
1649	55
1650	58
1651	38
1652	35
1653	64
1654	38
1655	35
1656	29
1657	45
1658	52
1659	38
1660	28
1661	31
1662	19
1663	24
1664	22
1665	30
1666	27
1667	19
1668	15
1669	18
1670	24
1671	23
1672	19
1673	14
1674	10
1675	13
1676	13
1677	13
1678	15
1679	11
1680	4
1681	8
1682	15
1683	6
1684	8
1685	6
1686	6
1687	3
1688	5
1689	4
1690	1
1691	5
1692	4
1693	1
1694	3
1695	3
1696	2
1697	3
1698	2
1699	5
1700	2
1701	3
1702	1
1703	1
1704	0
1705	0
1706	1
1707	0
1708	0
1709	0
1710	1
1711	0
1712	0
1713	1
1714	0
1715	2
1716	0
1717	1
1718	0
1719	0
1720	0
1721	0
1722	0
1723	0
1724	0
1725	0
1726	0
1727	0
1728	0
1729	0
1730	0
1731	0
1732	0
1733	0
1734	0
1735	0
1736	0
1737	0
1738	0
1739	0
1740	0
1741	0
1742	0
1743	0
1744	1
1745	0
1746	0
1747	0
1748	0
1749	0
1750	0
1751	0
1752	0
1753	0
1754	0
1755	0
1756	0
1757	1
1758	0
1759	0
1760	0
1761	0
1762	0
1763	0
1764	0
1765	0
1766	0
1767	0
1768	0
1769	0
1770	0
1771	0
1772	0
1773	0
1774	0
1775	0
1776	0
1777	0
1778	0
1779	0
1780	0
1781	0
1782	1
1783	0
1784	0
1785	0
1786	0
1787	0
1788	0
1789	0
1790	0
1791	0
1792	0
1793	0
1794	0
1795	0
1796	0
1797	0
1798	0
1799	0
1800	0
1801	0
1802	0
1803	0
1804	0
1805	0
1806	0
1807	0
1808	0
1809	0
1810	0
1811	0
1812	0
1813	0
1814	0
1815	0
1816	0
1817	0
1818	0
1819	0
1820	0
1821	0
1822	0
1823	0
1824	0
1825	0
1826	0
1827	1
1828	0
1829	0
1830	0
1831	0
1832	0
1833	0
1834	0
1835	0
1836	0
1837	0
1838	0
1839	0
1840	0
1841	0
1842	0
1843	0
1844	0
1845	0
1846	0
1847	0
1848	0
1849	0
1850	0
1851	0
1852	0
1853	0
1854	0
1855	0
1856	0
1857	0
1858	0
1859	0
1860	0
1861	0
1862	0
1863	0
1864	0
1865	0
1866	0
1867	0
1868	1
1869	0
1870	0
1871	0
1872	0
1873	0
1874	0
1875	0
1876	0
1877	0
1878	0
1879	0
1880	0
1881	0
1882	0
1883	0
1884	0
1885	0
1886	0
1887	0
1888	0
1889	0
1890	0
1891	0
1892	0
1893	0
1894	0
1895	1
1896	0
1897	0
1898	0
1899	0
1900	0
1901	0
1902	0
1903	0
1904	0
1905	0
1906	0
1907	0
1908	0
1909	0
1910	0
1911	0
1912	0
1913	0
1914	0
1915	0
1916	0
1917	0
1918	0
1919	0
1920	0
1921	0
1922	0
1923	0
