SPEC_ID:	'No sample description was entered.'
SPEC_REM:	'DET# 1'
DATE_MEA:	'09/19/2017 09:48:30'
MEAS_TIM:	'120 120'
DATA:	'0 2047'
ROI:	'0'
PRESETS:	'Live Time'
ENER_FIT:	'0.000000 0.002526'
MCA_CAL:	'3'
SHAPE_CAL:	'3'

Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	3
199	1
200	5
201	2
202	1
203	0
204	1
205	1
206	1
207	4
208	4
209	3
210	2
211	0
212	2
213	2
214	1
215	3
216	2
217	0
218	3
219	1
220	3
221	1
222	3
223	2
224	1
225	0
226	1
227	0
228	1
229	1
230	1
231	3
232	2
233	1
234	2
235	2
236	0
237	0
238	1
239	3
240	2
241	0
242	3
243	1
244	2
245	1
246	0
247	2
248	0
249	2
250	5
251	1
252	0
253	2
254	3
255	1
256	4
257	2
258	1
259	3
260	2
261	0
262	5
263	2
264	0
265	1
266	0
267	4
268	3
269	1
270	1
271	2
272	3
273	3
274	1
275	5
276	3
277	4
278	1
279	2
280	1
281	2
282	0
283	1
284	1
285	1
286	3
287	1
288	1
289	1
290	0
291	1
292	0
293	1
294	3
295	1
296	0
297	2
298	3
299	1
300	0
301	2
302	3
303	3
304	1
305	3
306	3
307	2
308	3
309	1
310	2
311	0
312	2
313	2
314	1
315	1
316	2
317	1
318	2
319	3
320	1
321	1
322	3
323	1
324	0
325	2
326	2
327	0
328	0
329	3
330	1
331	2
332	5
333	1
334	3
335	2
336	3
337	1
338	1
339	2
340	1
341	2
342	7
343	1
344	6
345	1
346	1
347	0
348	2
349	2
350	2
351	4
352	2
353	2
354	2
355	2
356	1
357	1
358	1
359	2
360	2
361	1
362	2
363	0
364	2
365	2
366	2
367	1
368	2
369	3
370	4
371	4
372	4
373	0
374	4
375	3
376	6
377	3
378	1
379	1
380	2
381	5
382	0
383	0
384	7
385	6
386	1
387	2
388	1
389	1
390	0
391	0
392	0
393	3
394	2
395	1
396	0
397	1
398	3
399	0
400	0
401	3
402	3
403	1
404	0
405	4
406	1
407	0
408	6
409	2
410	2
411	5
412	0
413	3
414	3
415	1
416	2
417	1
418	1
419	4
420	2
421	1
422	2
423	0
424	1
425	2
426	2
427	4
428	2
429	2
430	2
431	3
432	0
433	1
434	1
435	2
436	0
437	1
438	1
439	2
440	3
441	1
442	0
443	1
444	2
445	0
446	3
447	1
448	2
449	2
450	2
451	2
452	1
453	4
454	1
455	3
456	2
457	2
458	4
