SPEC_ID:	'No sample description was entered.'
SPEC_REM:	'DET# 1'
DATE_MEA:	'09/19/2017 09:19:11'
MEAS_TIM:	'120 120'
DATA:	'0 2047'
ROI:	'0'
PRESETS:	'Live Time'
ENER_FIT:	'0.000000 0.002526'
MCA_CAL:	'3'
SHAPE_CAL:	'3'

Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	1
199	2
200	2
201	2
202	0
203	1
204	1
205	1
206	2
207	0
208	2
209	1
210	2
211	0
212	1
213	2
214	1
215	2
216	4
217	1
218	0
219	0
220	0
221	0
222	1
223	2
224	2
225	1
226	0
227	2
228	3
229	1
230	0
231	0
232	2
233	2
234	0
235	1
236	0
237	2
238	0
239	0
240	2
241	1
242	0
243	3
244	2
245	1
246	1
247	0
248	1
249	0
250	2
251	3
252	1
253	1
254	3
255	0
256	0
257	1
258	2
259	4
260	1
261	2
262	0
263	1
264	2
265	1
266	0
267	0
268	1
269	2
270	3
271	1
272	2
273	3
274	1
275	0
276	1
277	1
278	1
279	2
280	1
281	1
282	0
283	5
284	3
285	2
286	0
287	1
288	1
289	1
290	2
291	2
292	2
293	2
294	1
295	1
296	3
297	6
298	1
299	0
300	1
301	1
302	2
303	2
304	0
305	1
306	0
307	1
308	1
309	3
310	2
311	0
312	1
313	1
314	0
315	3
316	4
317	1
318	0
319	0
320	0
321	0
322	1
323	0
324	1
325	5
326	0
327	2
328	1
329	0
330	1
331	0
332	0
333	3
334	0
335	2
336	1
337	0
338	1
339	5
340	0
341	3
342	1
343	1
344	0
345	1
346	1
347	0
348	2
349	2
350	1
351	1
352	0
353	1
354	0
355	1
356	3
357	1
358	3
359	0
360	1
361	1
362	3
363	1
364	0
365	1
366	1
367	2
368	1
369	1
370	1
371	1
372	2
373	2
374	0
375	0
376	1
377	1
378	1
379	2
380	0
381	2
382	3
383	0
384	1
385	1
386	1
387	2
388	1
389	0
390	2
391	1
392	5
393	1
394	2
395	3
396	0
397	1
398	0
399	0
400	0
401	2
402	4
403	1
404	1
405	1
406	0
407	1
408	1
409	1
410	2
411	0
412	3
413	0
414	2
415	2
416	0
417	2
418	1
419	2
420	2
421	0
422	1
423	5
424	4
425	2
426	1
427	0
428	0
429	1
430	0
431	3
432	1
433	0
434	3
435	2
436	1
437	2
438	3
439	1
440	2
441	3
442	1
443	1
444	1
445	0
446	1
447	0
448	2
449	0
450	0
451	1
452	3
453	1
454	2
455	5
456	3
457	2
458	2
459	1
460	3
461	1
462	2
463	4
464	0
465	2
466	0
467	0
468	1
469	1
470	0
471	0
472	1
473	3
474	1
475	1
476	0
477	2
478	0
479	1
480	3
481	0
482	4
483	1
484	1
485	2
486	2
487	2
488	1
489	2
490	1
491	0
492	1
493	1
494	3
495	1
496	2
497	2
498	3
499	2
500	1
501	0
502	1
503	1
504	2
505	1
506	2
507	0
508	0
509	2
510	0
511	2
512	2
513	3
514	1
515	3
516	1
517	3
518	3
519	1
520	1
521	1
522	1
523	2
524	4
525	4
526	1
527	1
528	2
529	2
530	3
531	2
532	3
533	1
534	0
535	2
536	1
537	0
538	1
539	3
540	2
541	3
542	3
543	2
544	2
545	1
546	0
547	0
548	2
549	1
550	3
551	1
552	2
553	2
554	1
555	0
556	1
557	1
558	1
559	1
560	1
561	3
562	2
563	2
564	3
565	4
566	2
567	2
568	1
569	1
570	1
571	1
572	0
573	2
574	3
575	2
576	0
577	1
578	2
579	0
580	1
581	2
582	5
583	1
584	2
585	2
586	2
587	0
588	2
589	1
590	2
591	1
592	2
593	2
594	0
595	1
596	3
597	2
598	3
599	0
600	0
601	1
602	2
603	1
604	1
605	0
606	0
607	1
608	1
609	1
610	2
611	3
612	1
613	0
614	2
615	2
616	1
617	1
618	0
619	5
620	2
621	2
622	1
623	0
624	0
625	5
626	2
627	2
628	1
629	1
630	2
631	2
632	1
633	1
634	4
635	4
636	0
637	1
638	0
639	1
640	3
641	2
642	1
643	2
644	4
645	2
646	1
647	4
648	2
649	0
650	2
651	4
652	1
653	4
654	1
655	1
656	2
657	0
658	2
659	2
660	0
661	2
662	2
663	3
664	0
665	2
666	1
667	2
668	1
669	3
670	1
671	1
672	0
673	1
674	1
675	2
676	1
677	3
678	0
679	1
680	1
681	5
682	0
683	0
684	3
685	2
686	2
687	1
688	2
689	5
690	3
691	3
692	1
693	0
694	2
695	1
696	4
697	2
698	3
699	2
700	2
701	2
702	1
703	0
704	1
705	1
706	0
707	1
708	3
709	2
710	4
711	3
712	1
713	1
714	1
715	1
716	1
717	1
718	2
719	0
720	1
721	1
722	2
723	2
724	1
725	0
726	1
727	1
728	2
729	1
730	2
731	0
732	2
733	0
734	4
735	1
736	3
737	4
738	2
739	0
740	1
741	1
742	1
743	1
744	1
745	3
746	0
747	2
748	2
749	0
750	2
751	1
752	1
753	1
754	1
755	0
756	1
757	3
758	2
759	1
760	2
761	1
762	0
763	0
764	3
765	1
766	1
767	1
768	4
769	1
770	2
771	1
772	0
773	2
774	3
775	0
776	1
777	4
778	1
779	6
780	0
781	1
782	3
783	0
784	0
785	1
786	5
787	3
788	1
789	1
790	3
791	0
792	2
793	4
794	0
795	2
796	4
797	2
798	3
799	0
800	1
801	1
802	0
803	4
804	2
805	3
806	0
807	2
808	0
809	3
810	3
811	1
812	0
813	1
814	0
815	2
816	1
817	0
818	4
819	2
820	2
821	3
822	0
823	1
824	3
825	2
826	2
827	2
828	1
829	4
830	4
831	0
832	1
833	2
834	2
835	4
836	0
837	3
838	1
839	2
840	1
841	1
842	3
843	0
844	2
845	3
846	1
847	1
848	2
849	3
850	2
851	8
852	1
853	2
854	2
855	2
856	2
857	3
858	1
859	1
860	2
861	0
862	2
863	1
864	2
865	6
866	0
867	2
868	0
869	1
870	3
871	2
872	2
873	0
874	7
875	2
876	2
877	1
878	1
879	2
880	3
881	3
882	3
883	5
884	3
885	0
886	2
887	1
888	2
889	5
890	2
891	3
892	1
893	3
894	2
895	3
896	2
897	3
898	1
899	2
900	1
901	1
902	1
903	2
904	2
905	3
906	4
907	0
908	1
909	4
910	1
911	5
912	1
913	1
914	5
915	2
916	3
917	2
918	1
919	2
920	4
921	4
922	1
923	1
924	0
925	1
926	1
927	1
928	4
929	2
930	2
931	3
932	1
933	2
934	2
935	4
936	0
937	3
938	1
939	0
940	3
941	3
942	2
943	5
944	2
945	1
946	5
947	2
948	1
949	1
950	3
951	4
952	1
953	0
954	2
955	3
956	0
957	3
958	2
959	3
960	4
961	1
962	2
963	3
964	3
965	6
966	4
967	2
968	5
969	2
970	1
971	0
972	1
973	5
974	3
975	3
976	2
977	4
978	2
979	0
980	3
981	3
982	4
983	3
984	1
985	2
986	1
987	0
988	4
989	1
990	3
991	1
992	3
993	0
994	0
995	2
996	2
997	3
998	2
999	3
1000	4
1001	2
1002	1
1003	0
1004	3
1005	1
1006	3
1007	1
1008	5
1009	4
1010	4
1011	1
1012	5
1013	4
1014	3
1015	5
1016	1
1017	1
1018	3
1019	4
1020	1
1021	3
1022	2
1023	3
1024	4
1025	1
1026	2
1027	1
1028	2
1029	0
1030	7
1031	6
1032	0
1033	1
1034	7
1035	3
1036	2
1037	3
1038	1
1039	2
1040	4
1041	5
1042	2
1043	1
1044	2
1045	3
1046	2
1047	2
1048	1
1049	2
1050	5
1051	6
1052	2
1053	2
1054	3
1055	2
1056	3
1057	0
1058	4
1059	4
1060	1
1061	2
1062	7
1063	7
1064	3
1065	1
1066	3
1067	4
1068	7
1069	2
1070	0
1071	5
1072	4
1073	2
1074	4
1075	2
1076	2
1077	6
1078	1
1079	1
1080	5
1081	4
1082	4
1083	4
1084	2
1085	4
1086	1
1087	4
1088	3
1089	3
1090	3
1091	2
1092	3
1093	3
1094	6
1095	3
1096	4
1097	2
1098	5
1099	3
1100	7
1101	8
1102	5
1103	6
1104	6
1105	1
1106	4
1107	1
1108	4
1109	7
1110	7
1111	6
1112	1
1113	3
1114	7
1115	3
1116	4
1117	4
1118	1
1119	5
1120	3
1121	1
1122	5
1123	3
1124	7
1125	1
1126	4
1127	0
1128	5
1129	6
1130	3
1131	2
1132	5
1133	7
1134	6
1135	5
1136	3
1137	2
1138	5
1139	6
1140	1
1141	4
1142	6
1143	7
1144	6
1145	5
1146	5
1147	5
1148	5
1149	5
1150	4
1151	7
1152	7
1153	8
1154	6
1155	5
1156	4
1157	6
1158	4
1159	4
1160	7
1161	7
1162	6
1163	8
1164	4
1165	6
1166	9
1167	2
1168	6
1169	8
1170	7
1171	6
1172	9
1173	8
1174	7
1175	7
1176	9
1177	7
1178	3
1179	11
1180	5
1181	7
1182	6
1183	7
1184	4
1185	11
1186	9
1187	4
1188	9
1189	11
1190	9
1191	9
1192	6
1193	11
1194	8
1195	7
1196	10
1197	3
1198	7
1199	6
1200	13
1201	8
1202	9
1203	9
1204	8
1205	8
1206	8
1207	6
1208	8
1209	10
1210	8
1211	3
1212	8
1213	14
1214	7
1215	7
1216	7
1217	11
1218	9
1219	12
1220	8
1221	13
1222	10
1223	6
1224	12
1225	7
1226	7
1227	9
1228	10
1229	12
1230	10
1231	10
1232	13
1233	15
1234	13
1235	16
1236	9
1237	24
1238	14
1239	15
1240	13
1241	17
1242	14
1243	7
1244	17
1245	7
1246	12
1247	15
1248	12
1249	14
1250	10
1251	15
1252	9
1253	12
1254	11
1255	14
1256	15
1257	12
1258	12
1259	14
1260	14
1261	12
1262	18
1263	22
1264	13
1265	13
1266	18
1267	15
1268	13
1269	18
1270	23
1271	15
1272	19
1273	24
1274	22
1275	29
1276	10
1277	22
1278	23
1279	26
1280	22
1281	11
1282	16
1283	20
1284	19
1285	12
1286	20
1287	22
1288	17
1289	33
1290	20
1291	22
1292	24
1293	29
1294	23
1295	22
1296	20
1297	26
1298	31
1299	27
1300	27
1301	28
1302	33
1303	25
1304	31
1305	28
1306	42
1307	23
1308	37
1309	41
1310	38
1311	25
1312	31
1313	39
1314	47
1315	36
1316	41
1317	38
1318	33
1319	43
1320	36
1321	56
1322	53
1323	43
1324	40
1325	50
1326	56
1327	59
1328	49
1329	47
1330	49
1331	57
1332	62
1333	47
1334	51
1335	58
1336	45
1337	49
1338	56
1339	77
1340	67
1341	60
1342	60
1343	70
1344	78
1345	72
1346	63
1347	64
1348	82
1349	74
1350	79
1351	92
1352	80
1353	93
1354	85
1355	70
1356	89
1357	83
1358	94
1359	88
1360	99
1361	98
1362	115
1363	106
1364	101
1365	92
1366	121
1367	125
1368	145
1369	120
1370	115
1371	120
1372	105
1373	105
1374	150
1375	131
1376	157
1377	128
1378	137
1379	124
1380	141
1381	141
1382	142
1383	150
1384	175
1385	154
1386	164
1387	137
1388	174
1389	163
1390	168
1391	151
1392	173
1393	185
1394	183
1395	152
1396	183
1397	182
1398	174
1399	208
1400	222
1401	209
1402	204
1403	198
1404	206
1405	212
1406	243
1407	213
1408	259
1409	231
1410	233
1411	244
1412	235
1413	221
1414	237
1415	272
1416	251
1417	252
1418	265
1419	248
1420	264
1421	271
1422	235
1423	255
1424	271
1425	223
1426	267
1427	285
1428	294
1429	290
1430	257
1431	265
1432	292
1433	266
1434	300
1435	317
1436	284
1437	325
1438	286
1439	341
1440	301
1441	322
1442	305
1443	281
1444	306
1445	313
1446	294
1447	296
1448	340
1449	314
1450	300
1451	298
1452	305
1453	307
1454	294
1455	281
1456	348
1457	304
1458	269
1459	297
1460	279
1461	292
1462	284
1463	277
1464	273
1465	301
1466	257
1467	310
1468	309
1469	272
1470	264
1471	306
1472	252
1473	261
1474	261
1475	239
1476	255
1477	239
1478	241
1479	221
1480	251
1481	210
1482	220
1483	232
1484	221
1485	234
1486	212
1487	215
1488	226
1489	201
1490	221
1491	201
1492	193
1493	182
1494	185
1495	174
1496	200
1497	153
1498	165
1499	171
1500	162
1501	141
1502	177
1503	162
1504	172
1505	159
1506	149
1507	137
1508	113
1509	148
1510	132
1511	133
1512	122
1513	99
1514	119
1515	117
1516	120
1517	115
1518	92
1519	104
1520	89
1521	67
1522	90
1523	77
1524	73
1525	78
1526	85
1527	73
1528	84
1529	59
1530	66
1531	64
1532	59
1533	74
1534	53
1535	66
1536	48
1537	45
1538	49
1539	40
1540	51
1541	40
1542	48
1543	32
1544	32
1545	36
1546	35
1547	31
1548	33
1549	25
1550	18
1551	43
1552	23
1553	22
1554	27
1555	21
1556	20
1557	20
1558	17
1559	18
1560	15
1561	16
