SPEC_ID:	'No sample description was entered.'
SPEC_REM:	'DET# 1'
DATE_MEA:	'10/01/2017 17:16:51'
MEAS_TIM:	'43200 43200'
DATA:	'0 2047'
ROI:	'0'
PRESETS:	'Live Time'
ENER_FIT:	'0.000000 0.002526'
MCA_CAL:	'3'
SHAPE_CAL:	'3'

Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	1
198	4
199	5
200	4
201	7
202	3
203	6
204	5
205	4
206	5
207	2
208	5
209	2
210	7
211	4
212	4
213	8
214	2
215	4
216	4
217	3
218	6
219	5
220	3
221	7
222	1
223	2
224	5
225	3
226	2
227	5
228	4
229	4
230	7
231	4
232	7
233	3
234	1
235	3
236	9
237	4
238	2
239	2
240	5
241	3
242	0
243	1
244	2
245	1
246	1
247	1
248	1
249	2
250	4
251	1
252	3
253	5
254	2
255	1
256	2
257	3
258	5
259	3
260	0
261	4
262	0
263	0
264	0
265	0
266	2
267	2
268	3
269	4
270	1
271	1
272	2
273	3
274	1
275	2
276	0
277	1
278	1
279	3
280	0
281	1
282	1
283	2
284	1
285	2
286	1
287	1
288	1
289	0
290	1
291	1
292	3
293	1
294	0
295	3
296	1
297	2
298	3
299	1
300	2
301	1
302	0
303	0
304	6
305	3
306	1
307	1
308	2
309	1
310	2
311	0
312	0
313	0
314	3
315	2
316	0
317	0
318	0
319	1
320	0
321	0
322	1
323	1
324	3
325	2
326	1
327	3
328	1
329	0
330	0
331	2
332	1
333	0
334	0
335	0
336	1
337	0
338	0
339	1
340	0
341	1
342	0
343	1
344	1
345	3
346	0
347	1
348	2
349	1
350	0
351	0
352	1
353	0
354	0
355	2
356	2
357	2
358	1
359	2
360	0
361	2
362	1
363	0
364	1
365	1
366	1
367	3
368	0
369	0
370	1
371	3
372	0
373	0
374	0
375	0
376	1
377	0
378	0
379	0
380	0
381	1
382	1
383	0
384	0
385	0
386	2
387	2
388	1
389	2
390	1
391	0
392	0
393	0
394	1
395	0
396	1
397	2
398	0
399	2
400	0
401	1
402	1
403	0
404	0
405	0
406	0
407	0
408	1
409	0
410	0
411	0
412	2
413	2
414	0
415	2
416	0
417	1
418	1
419	0
420	1
421	1
422	2
423	1
424	0
425	1
426	1
427	1
428	1
429	0
430	0
431	0
432	0
433	1
434	0
435	0
436	0
437	1
438	1
439	1
440	0
441	0
442	1
443	0
444	0
445	0
446	1
447	0
448	0
449	1
450	1
451	1
452	0
453	1
454	0
455	0
456	0
457	1
458	1
459	0
460	1
461	1
462	0
463	0
464	0
465	1
466	0
467	2
468	3
469	0
470	4
471	0
472	2
473	0
474	1
475	0
476	0
477	1
478	1
479	0
480	1
481	1
482	0
483	0
484	0
485	0
486	0
487	0
488	1
489	0
490	2
491	1
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	1
507	0
508	1
509	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	1
520	0
521	0
522	0
523	0
524	1
525	0
526	0
527	1
528	1
529	0
