SPEC_ID:	'No sample description was entered.'
SPEC_REM:	'DET# 1'
DATE_MEA:	'09/14/2017 10:06:54'
MEAS_TIM:	'22 22'
DATA:	'0 2047'
ROI:	'1'
PRESETS:	'Live Time'
ENER_FIT:	'0.000000 0.002526'
MCA_CAL:	'3'
SHAPE_CAL:	'3'

Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	1
200	0
201	0
202	2
203	0
204	1
205	0
206	0
207	0
208	0
209	0
210	1
211	0
212	0
213	0
214	1
215	0
216	0
217	1
218	1
219	0
220	0
221	1
222	0
223	0
224	0
225	0
226	1
227	0
228	1
229	0
230	0
231	0
232	1
233	1
234	0
235	0
236	0
237	0
238	0
239	0
240	1
241	1
242	0
243	0
244	0
245	1
246	0
247	1
248	0
249	0
250	1
251	0
252	0
253	0
254	0
255	1
256	0
257	1
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	0
269	1
270	0
271	2
272	0
273	1
274	1
275	1
276	0
277	0
278	0
279	1
280	0
281	0
282	1
283	1
284	1
285	0
286	0
287	0
288	0
289	0
290	1
291	0
292	0
293	0
294	1
295	0
296	0
297	0
298	2
299	1
300	0
301	1
302	0
303	0
304	0
305	0
306	1
307	0
308	0
309	1
310	0
311	1
312	1
313	0
314	0
315	0
316	1
317	0
318	1
319	0
320	0
321	0
322	1
323	0
324	0
325	0
326	0
327	1
328	1
329	0
330	0
331	0
332	0
333	1
334	0
335	1
336	0
337	1
338	0
339	2
340	0
341	0
342	0
343	1
344	0
345	1
346	1
347	0
348	0
349	0
350	0
351	0
352	0
353	1
354	0
355	0
356	0
357	1
358	2
359	1
360	0
361	0
362	2
363	1
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	1
377	1
378	0
379	1
380	0
381	0
382	0
383	0
384	2
385	0
386	1
387	0
388	1
389	0
390	1
391	0
392	1
393	0
394	0
395	1
396	1
397	0
398	0
399	1
400	0
401	0
402	0
403	0
404	0
405	0
406	2
407	0
408	1
409	0
410	0
411	1
412	0
413	0
414	1
415	0
416	0
417	1
418	0
419	0
420	0
421	2
422	2
423	1
424	1
425	1
426	2
427	0
428	0
429	1
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	1
439	0
440	1
441	0
442	1
443	1
444	0
445	0
446	0
447	1
448	0
449	0
450	0
451	1
452	1
453	0
454	0
455	0
456	0
457	1
458	1
459	1
460	0
461	0
462	0
463	0
464	0
465	0
466	2
467	0
468	0
469	0
470	0
471	1
472	0
473	0
474	0
475	1
476	0
477	1
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	1
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	1
504	0
505	0
506	0
507	1
508	0
509	1
510	1
511	0
512	0
513	2
514	1
515	0
516	1
517	0
518	0
519	0
520	1
521	0
522	0
523	1
524	0
525	0
526	1
527	1
528	0
529	2
530	0
531	1
532	0
533	1
534	1
535	0
536	1
537	1
538	1
539	0
540	0
541	0
542	0
543	1
544	0
545	0
546	1
547	1
548	1
549	0
550	0
551	0
552	1
553	0
554	1
555	1
556	0
557	0
558	1
559	1
560	0
561	0
562	1
563	0
564	0
565	0
566	1
567	0
568	0
569	0
570	0
571	0
572	0
573	0
574	0
575	1
576	0
577	0
578	0
579	0
580	1
581	0
582	0
583	1
584	1
585	0
586	1
587	1
588	0
589	0
590	0
591	2
592	0
593	1
594	1
595	0
596	0
597	0
598	0
599	0
600	0
601	0
602	0
603	1
604	0
605	1
606	0
607	0
608	0
609	0
610	0
611	1
612	1
613	2
614	0
615	0
616	0
617	0
618	0
619	0
620	1
621	0
622	0
623	0
624	0
625	0
626	1
627	1
628	0
629	0
630	1
631	1
632	0
633	0
634	0
635	1
636	0
637	0
638	0
639	1
640	0
641	2
642	1
643	1
644	1
645	1
