SPEC_ID:	'No sample description was entered.'
SPEC_REM:	'DET# 1'
DATE_MEA:	'09/14/2017 09:50:41'
MEAS_TIM:	'91 91'
DATA:	'0 2047'
ROI:	'1'
PRESETS:	'Live Time'
ENER_FIT:	'0.000000 0.002526'
MCA_CAL:	'3'
SHAPE_CAL:	'3'

Channel	Counts
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	0
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	0
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	1
198	0
199	0
200	1
201	1
202	0
203	0
204	0
205	1
206	0
207	0
208	1
209	2
210	1
211	2
212	2
213	1
214	0
215	0
216	1
217	1
218	1
219	0
220	0
221	1
222	1
223	2
224	0
225	2
226	0
227	2
228	2
229	0
230	0
231	1
232	0
233	1
234	1
235	2
236	1
237	0
238	1
239	1
240	0
241	1
242	2
243	0
244	0
245	1
246	1
247	0
248	0
249	1
250	0
251	0
252	1
253	2
254	1
255	0
256	1
257	1
258	1
259	0
260	0
261	0
262	0
263	0
264	1
265	0
266	0
267	1
268	0
269	1
270	0
271	0
272	1
273	1
274	0
275	2
276	1
277	1
278	1
279	1
280	2
281	0
282	1
283	0
284	2
285	0
286	1
287	1
288	0
289	0
290	0
291	0
292	1
293	0
294	1
295	1
296	0
297	0
298	1
299	0
300	0
301	0
302	2
303	0
304	3
305	1
306	3
307	1
308	1
309	2
310	0
311	1
312	0
313	1
314	1
315	0
316	0
317	1
318	1
319	4
320	1
321	0
322	1
323	0
324	0
325	2
326	0
327	0
328	1
329	1
330	0
331	2
332	1
333	0
334	1
335	0
336	0
337	0
338	1
339	0
340	1
341	0
342	1
343	1
344	1
345	1
346	0
347	1
348	1
349	1
350	0
351	1
352	1
353	3
354	0
355	0
356	0
357	1
358	1
359	2
360	0
361	1
362	2
363	0
364	0
365	0
366	1
367	0
368	1
369	1
370	0
371	1
372	2
373	1
374	0
375	0
376	0
377	0
378	0
379	2
380	0
381	1
382	0
383	0
384	2
385	1
386	1
387	0
388	0
389	0
390	1
391	0
392	0
393	2
394	2
395	0
396	1
397	1
398	2
399	1
400	2
401	1
402	1
403	0
404	0
405	0
406	0
407	0
408	1
409	0
410	0
411	0
